ages,list_price,num_reviews,piece_count,review_difficulty,star_rating,country
8-14,69.99,17.0,674.0,Average,4.7,US
16+,311.952,228.0,4295.0,Challenging,,CZ
11-16,195.1878,22.0,2595.0,Average,4.7,IE
6-12,12.1878,3.0,91.0,Easy,4.3,ES
7-14,48.7878,5.0,267.0,Easy,3.2,
10+,30.4878,33.0,231.0,Easy,4.6,IT
2-5,23.786,2.0,26.0,Average,5.0,GB
5-12,36.5878,2.0,222.0,Average,5.0,
7-14,31.192200000000003,10.0,312.0,Easy,4.0,CA
10+,9.99,2.0,108.0,Easy,5.0,US
7-12,75.9924,2.0,603.0,Challenging,4.5,AU
7-14,30.4878,19.0,201.0,Easy,4.6,DE
7-14,48.7878,7.0,358.0,Average,4.7,ES
8+,31.192200000000003,6.0,387.0,Easy,4.7,
8+,121.9878,7.0,729.0,Average,4.1,BE
5-12,24.3878,3.0,141.0,Easy,4.3,BE
8-14,54.8878,3.0,506.0,Average,5.0,FR
6-12,67.0878,4.0,360.0,Average,5.0,NL
7-12,21.6,1.0,200.0,Average,5.0,DN
6-12,153.986,45.0,610.0,Average,4.4,GB
12+,329.3878,11.0,2863.0,Challenging,,LU
6-12,24.0,3.0,188.0,Easy,4.3,DN
8-12,38.352,5.0,379.0,Easy,4.4,CZ
6-12,86.59800000000001,4.0,740.0,Average,5.0,CH
6-12,55.986000000000004,3.0,307.0,Easy,4.7,GB
5-12,36.5878,2.0,347.0,Very Easy,5.0,DE
12+,38.352,7.0,361.0,Easy,4.6,CZ
7-14,69.5278,5.0,425.0,Average,3.2,PT
16+,248.4929,53.0,2670.0,Challenging,4.4,NZ
2-5,146.339,8.0,163.0,Easy,5.0,FI
9-16,37.9924,57.0,10.0,Easy,4.5,AU
1½-5,15.8478,15.0,1.0,Easy,4.0,FR
9-14,115.152,11.0,1202.0,Average,4.5,CZ
10-16,119.99,14.0,1327.0,Challenging,4.6,US
8-14,53.88,7.0,521.0,Average,4.3,DN
6-12,28.3929,5.0,201.0,Average,4.4,NZ
6+,713.9860000000001,7.0,2631.0,Easy,4.6,
8-12,90.87,11.0,728.0,Average,3.4,NO
12+,63.89289999999999,37.0,598.0,Average,4.2,NZ
9-14,93.5922,39.0,863.0,Average,,CA
4+,2.49,180.0,1.0,Very Easy,4.8,
4-7,12.1878,2.0,67.0,Very Easy,5.0,DE
10+,12.1878,5.0,143.0,Easy,5.0,IE
6-12,48.7878,1.0,460.0,Average,4.0,AT
7-14,31.192200000000003,12.0,366.0,Easy,4.8,CA
6-14,19.152,4.0,69.0,Easy,4.3,CZ
6-12,48.7878,3.0,307.0,Easy,4.7,FR
8-14,134.18779999999998,2.0,841.0,Average,5.0,BE
8+,58.4922,1.0,717.0,Challenging,5.0,CA
6-14,12.1878,11.0,109.0,Easy,4.7,LU
2-5,17.7429,1.0,15.0,Easy,4.0,NZ
10-21,42.6878,1.0,1.0,Very Easy,,NL
8-14,79.28779999999998,12.0,457.0,Easy,4.3,ES
4-7,12.1878,2.0,67.0,Very Easy,5.0,IT
16+,1035.78,198.0,7541.0,Challenging,4.8,BE
16+,115.88779999999998,134.0,1077.0,Average,4.7,DE
9-14,90.87,9.0,554.0,Challenging,4.0,NO
10-16,68.3924,12.0,603.0,Average,4.7,
12+,47.88,23.0,468.0,Average,4.7,DN
8-14,31.192200000000003,4.0,144.0,Average,4.8,CA
8-14,109.7878,71.0,717.0,Average,4.7,AT
7-14,15.48,1.0,56.0,Easy,,DN
